sample_id,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_005245,-28.8,118.7,3539,0.9512,1.1664,22.62,92.4,87.7,12330,5.4e-07,-2.57,1.89,Interface Delamination,3539.0,0.287,0.436,0.659,0.829,0.31,74.8,0.537,0.86
WLD_005246,-21.7,97.6,5458,1.173,1.421,21.15,88.3,83.9,13969,1.75e-06,6.28,2.34,Thermal Degradation,5458.0,0.391,0.48,0.764,0.807,1.71,97.2,0.524,0.655
WLD_005247,-23.0,117.0,5907,1.7206,2.0171,17.23,82.7,78.6,17858,1.45e-06,4.77,1.72,Fatigue Cracking,5907.0,0.331,0.541,0.89,0.89,4.67,164.1,0.734,0.824
WLD_005248,-31.0,135.9,6476,25.4647,32.9858,29.54,77.5,73.7,1793,5.93e-06,10.04,2.61,Fatigue Cracking,814.6,1.0,0.392,0.969,0.836,1.64,117.3,0.523,0.824
WLD_005249,-38.3,145.1,6778,29.8964,39.3209,31.52,74.2,70.5,642,2.77e-06,6.7,1.77,Fatigue Cracking,384.4,1.0,0.356,0.754,0.73,2.07,90.4,0.894,0.885
WLD_005250,-36.1,137.0,4779,2.1268,2.4923,17.19,82.0,77.9,5301,1.54e-06,3.25,1.88,Intermetallic Embrittlement,3744.2,0.901,0.388,0.924,0.941,1.37,84.5,0.511,0.73
WLD_005251,-22.0,141.9,8913,4.2001,5.5556,32.27,67.9,64.5,14074,1.95e-06,9.53,2.28,Fatigue Cracking,8913.0,0.633,0.317,0.77,0.814,0.67,101.4,0.68,0.735
WLD_005252,-30.8,109.4,1814,0.9266,1.0786,16.4,91.7,87.1,39275,6.1e-07,5.1,2.81,Intermetallic Embrittlement,1814.0,0.046,0.445,0.817,0.725,2.42,123.1,0.872,0.609
WLD_005253,-33.0,127.6,3378,2.3781,2.7187,14.32,89.1,84.7,20830,1.79e-06,15.71,1.92,Intermetallic Embrittlement,3378.0,0.162,0.452,0.811,0.72,3.53,119.9,0.706,0.85
WLD_005254,-21.4,121.5,7645,0.2138,0.2951,38.0,76.4,72.6,18629,1.35e-06,2.0,3.22,Thermal Degradation,5144.6,0.41,0.252,0.85,0.754,1.34,150.6,0.808,0.663
WLD_005255,-37.5,137.4,6500,4.7104,5.7639,22.37,79.5,75.5,1027,1.55e-06,0.32,1.7,Fatigue Cracking,641.5,1.0,0.474,0.878,0.752,1.39,51.0,0.642,0.841
WLD_005256,-24.7,108.1,4552,4.9182,5.6603,15.09,81.4,77.3,22137,2.32e-06,11.22,1.39,Interface Delamination,4552.0,0.206,0.456,0.952,0.885,4.51,128.0,0.776,0.698
WLD_005257,-21.1,83.6,4794,3.445,4.3132,25.2,94.0,89.3,21371,1.13e-06,14.04,1.61,Thermal Degradation,4794.0,0.224,0.468,0.725,0.759,4.43,107.9,0.735,0.636
WLD_005258,-37.4,113.2,5774,1.1345,1.4178,24.97,90.5,86.0,46017,1.3e-06,8.07,2.23,Thermal Degradation,5774.0,0.125,0.453,0.737,0.937,4.05,115.4,0.772,0.943
WLD_005259,-29.4,138.4,9244,0.1246,0.1696,36.14,84.4,80.2,18178,1.25e-06,4.77,2.05,Fatigue Cracking,9144.8,0.509,0.361,0.972,0.783,2.16,173.2,0.707,0.9
WLD_005260,-27.9,145.0,988,16.5744,19.5349,17.86,88.1,83.7,1174,3.19e-06,3.89,1.94,Interface Delamination,684.9,0.841,0.462,0.785,0.858,0.13,103.3,0.629,0.62
WLD_005261,-25.4,137.9,6395,17.7968,20.9929,17.96,77.5,73.6,2311,2.56e-06,6.99,2.14,Fatigue Cracking,734.8,1.0,0.508,0.931,0.73,3.79,136.6,0.783,0.756
WLD_005262,-33.3,116.0,2916,1.8329,2.0418,11.4,88.9,84.4,16022,4.9e-07,1.22,1.83,Intermetallic Embrittlement,2916.0,0.182,0.48,0.62,0.925,2.69,196.9,0.624,0.937
WLD_005263,-28.2,112.0,501,2.818,3.2671,15.94,100.0,95.0,9357,1.21e-06,9.95,2.79,Intermetallic Embrittlement,501.0,0.054,0.491,0.794,0.945,0.29,158.1,0.873,0.623
WLD_005264,-34.7,89.8,8345,3.5933,4.7061,30.97,82.9,78.7,41372,9.9e-07,6.23,2.47,Fatigue Cracking,8345.0,0.202,0.405,0.785,0.865,0.54,54.0,0.569,0.722
WLD_005265,-24.4,82.0,7013,7.2784,8.5919,18.05,83.6,79.4,40108,1.87e-06,3.51,2.03,Fatigue Cracking,7013.0,0.175,0.538,0.681,0.936,1.03,122.6,0.807,0.896
WLD_005266,-36.3,101.1,341,3.0443,3.6173,18.82,89.9,85.4,3226,1.74e-06,4.73,1.85,Oxidation,341.0,0.106,0.611,0.67,0.794,3.33,159.9,0.524,0.706
WLD_005267,-23.1,149.3,4726,3.3125,3.8523,16.3,74.5,70.8,4098,6e-07,8.59,1.77,Interface Delamination,1593.2,1.0,0.409,0.704,0.914,2.49,52.2,0.691,0.644
WLD_005268,-33.7,126.7,5972,11.4097,15.1356,32.66,79.4,75.5,1718,1.68e-06,5.4,1.95,Fatigue Cracking,1408.9,1.0,0.371,0.658,0.878,3.29,80.6,0.507,0.883
WLD_005269,-24.4,119.9,3756,28.7603,36.6624,27.48,85.0,80.7,5190,2.24e-06,8.77,2.85,Interface Delamination,3026.1,0.724,0.35,0.642,0.745,2.89,59.7,0.617,0.667
WLD_005270,-37.7,123.7,7994,1.3083,1.751,33.84,76.3,72.5,4487,1.16e-06,-1.68,1.73,Thermal Degradation,2259.4,1.0,0.293,0.623,0.742,2.53,140.4,0.643,0.906
WLD_005271,-20.8,98.9,8598,1.7413,2.1022,20.72,74.0,70.3,16875,7.8e-07,2.38,2.09,Thermal Degradation,6665.3,0.51,0.413,0.929,0.709,1.67,186.9,0.597,0.808
WLD_005272,-26.0,93.7,2938,1.5755,2.0009,27.0,89.4,84.9,14067,1.6e-06,11.46,2.17,Intermetallic Embrittlement,2938.0,0.209,0.327,0.702,0.811,0.26,182.8,0.661,0.686
WLD_005273,-26.8,118.6,5003,38.1715,50.4486,32.16,72.2,68.6,781,3.97e-06,3.93,2.76,Fatigue Cracking,486.6,1.0,0.339,0.957,0.931,1.45,74.1,0.641,0.751
WLD_005274,-23.4,89.2,3439,16.6008,18.2354,9.85,88.1,83.7,5505,1.63e-06,12.09,2.01,Interface Delamination,3439.0,0.625,0.542,0.844,0.718,4.62,54.0,0.636,0.877
WLD_005275,-24.5,86.3,6134,0.8668,1.089,25.64,78.5,74.6,8570,1.79e-06,3.17,1.86,Fatigue Cracking,6134.0,0.716,0.436,0.774,0.799,0.59,173.7,0.751,0.813
WLD_005276,-32.7,100.8,6991,0.4759,0.6548,37.6,86.7,82.4,16649,2.35e-06,3.31,1.88,Thermal Degradation,6991.0,0.42,0.308,0.692,0.707,0.55,108.3,0.628,0.674
WLD_005277,-31.7,144.0,3624,0.5817,0.7361,26.54,89.9,85.4,4233,1.62e-06,-2.24,2.04,Mechanical Wear,2885.6,0.856,0.584,0.689,0.717,1.74,59.5,0.705,0.645
WLD_005278,-34.4,148.2,7962,8.0968,11.0414,36.37,77.8,74.0,1502,2.22e-06,4.55,2.04,Thermal Degradation,685.5,1.0,0.276,0.611,0.855,0.6,55.9,0.623,0.783
WLD_005279,-29.6,148.7,1006,3.2523,3.5826,10.16,88.4,84.0,5302,2.4e-06,1.6,2.06,Intermetallic Embrittlement,1006.0,0.19,0.491,0.743,0.704,4.06,188.1,0.557,0.721
WLD_005280,-29.8,97.8,4148,4.4129,4.9405,11.96,91.7,87.1,41558,1.37e-06,6.2,2.99,Intermetallic Embrittlement,4148.0,0.1,0.489,0.705,0.91,4.45,186.0,0.731,0.895
WLD_005281,-35.4,116.3,621,18.5568,20.8232,12.21,83.8,79.6,1069,3.04e-06,6.01,1.93,Interface Delamination,621.0,0.581,0.497,0.934,0.771,3.37,157.0,0.841,0.864
WLD_005282,-38.3,124.6,5731,1.6856,1.9698,16.86,81.3,77.3,3130,1.64e-06,-3.5,1.97,Fatigue Cracking,1820.4,1.0,0.538,0.976,0.896,0.99,83.7,0.72,0.801
WLD_005283,-31.7,88.2,5876,17.7065,24.1026,36.12,82.9,78.8,2462,1.76e-06,0.93,1.27,Thermal Degradation,3011.7,1.0,0.303,0.88,0.755,3.65,56.5,0.718,0.828
WLD_005284,-33.8,128.6,6088,0.0608,0.0684,12.44,86.7,82.3,4506,1.51e-06,8.68,5.37,Fatigue Cracking,3340.3,1.0,0.609,0.967,0.839,2.64,83.9,0.891,0.809
WLD_005285,-39.8,109.2,9796,3.5417,5.5018,55.34,74.0,70.3,30397,1.58e-06,8.42,1.73,Fatigue Cracking,9796.0,0.322,0.17,0.775,0.822,2.23,66.4,0.604,0.882
WLD_005286,-25.5,132.1,3145,5.9914,7.3217,22.2,88.1,83.7,18270,3.8e-07,16.16,2.1,Intermetallic Embrittlement,3145.0,0.172,0.368,0.671,0.765,3.72,119.1,0.846,0.609
WLD_005287,-24.7,113.5,398,1.3349,1.4548,8.98,95.9,91.1,10928,9.3e-07,0.24,1.83,Thermal Degradation,398.0,0.036,0.64,0.605,0.752,3.41,78.5,0.519,0.65
WLD_005288,-34.7,120.0,5589,0.8171,0.9295,13.75,78.8,74.8,11296,1.02e-06,6.94,2.18,Fatigue Cracking,4169.7,0.495,0.556,0.785,0.937,3.65,165.4,0.61,0.817
WLD_005289,-22.9,105.5,9035,5.5607,7.2099,29.66,77.9,74.0,8160,1.35e-06,11.04,2.43,Fatigue Cracking,3646.4,1.0,0.393,0.923,0.72,2.06,145.6,0.799,0.67
WLD_005290,-38.3,116.8,5668,0.2743,0.3352,22.2,78.6,74.7,5765,8.6e-07,6.31,2.41,Thermal Degradation,2157.8,0.983,0.421,0.822,0.756,1.34,124.1,0.589,0.866
WLD_005291,-28.8,109.8,897,2.1032,2.3758,12.96,99.1,94.2,6293,1.6e-06,5.1,3.2,Mechanical Wear,897.0,0.143,0.766,0.693,0.834,0.37,98.7,0.815,0.721
WLD_005292,-39.7,115.4,7733,28.2948,36.0722,27.49,78.0,74.1,3396,2.85e-06,9.13,1.92,Fatigue Cracking,1345.9,1.0,0.415,0.601,0.75,4.54,99.8,0.562,0.751
WLD_005293,-21.7,100.7,7004,1.1586,1.3682,18.09,86.6,82.3,25036,1.27e-06,4.74,2.3,Fatigue Cracking,7004.0,0.28,0.552,0.925,0.722,0.6,60.5,0.584,0.733
WLD_005294,-38.6,126.4,4680,1.2344,1.3856,12.25,90.4,85.9,14558,1.71e-06,2.77,2.34,Intermetallic Embrittlement,4680.0,0.321,0.48,0.739,0.718,1.52,87.4,0.767,0.872
WLD_005295,-25.3,102.7,4105,0.8224,0.9922,20.64,95.1,90.3,11420,1.57e-06,5.59,1.81,Fatigue Cracking,4105.0,0.359,0.569,0.845,0.78,1.13,141.1,0.551,0.642
WLD_005296,-23.5,130.9,439,1.4079,1.6434,16.73,88.7,84.2,22970,1.16e-06,0.64,3.33,Intermetallic Embrittlement,439.0,0.019,0.426,0.923,0.799,4.19,171.8,0.592,0.803
WLD_005297,-29.1,88.4,1988,2.0712,2.3039,11.24,89.7,85.2,5338,2.1e-06,1.38,1.99,Interface Delamination,1988.0,0.372,0.536,0.892,0.825,3.66,147.4,0.77,0.788
WLD_005298,-22.5,123.7,8553,9.0736,12.5576,38.4,67.9,64.5,2128,1.78e-06,-1.26,1.34,Fatigue Cracking,2175.3,1.0,0.255,0.718,0.704,4.71,52.0,0.715,0.785
WLD_005299,-26.4,144.6,3798,5.3477,6.2334,16.56,84.2,80.0,863,1.4e-06,0.84,1.88,Interface Delamination,1008.6,1.0,0.455,0.979,0.909,4.98,142.0,0.723,0.645
WLD_005300,-28.0,145.5,6519,17.2134,22.0469,28.08,74.7,71.0,2419,1.99e-06,9.48,1.98,Fatigue Cracking,4103.1,1.0,0.393,0.701,0.791,0.36,198.0,0.877,0.829
WLD_005301,-36.8,149.5,6370,2.5148,3.48,38.38,69.8,66.3,2483,5e-07,2.56,1.91,Fatigue Cracking,975.7,1.0,0.265,0.654,0.846,2.02,69.7,0.573,0.634
WLD_005302,-26.2,94.6,4878,1.0962,1.3338,21.68,83.7,79.5,23431,7.4e-07,8.97,1.96,Oxidation,4878.0,0.208,0.552,0.831,0.865,2.87,123.5,0.754,0.89
WLD_005303,-39.1,100.5,8574,7.8791,11.2248,42.46,84.9,80.6,6722,2.13e-06,1.08,1.84,Fatigue Cracking,2246.6,1.0,0.3,0.91,0.792,1.02,165.3,0.856,0.91
WLD_005304,-29.3,149.0,8750,3.0058,3.6103,20.11,75.5,71.7,15375,1.59e-06,3.32,1.84,Fatigue Cracking,2498.2,0.569,0.476,0.917,0.848,2.86,184.4,0.705,0.75
WLD_005305,-21.0,120.7,6232,0.3517,0.4725,34.34,90.3,85.8,30897,1e-06,6.16,2.35,Fatigue Cracking,6232.0,0.202,0.408,0.646,0.927,2.82,191.6,0.524,0.778
WLD_005306,-35.2,130.7,5828,10.3401,14.1754,37.09,74.0,70.3,2271,2.28e-06,6.57,1.99,Thermal Degradation,674.9,1.0,0.249,0.683,0.772,1.32,85.0,0.564,0.758
WLD_005307,-32.7,89.8,7461,0.5615,0.7778,38.52,80.1,76.1,6417,1.21e-06,2.23,1.91,Fatigue Cracking,7461.0,1.0,0.315,0.822,0.834,2.23,121.9,0.622,0.803
WLD_005308,-35.5,141.3,6108,5.0419,6.3375,25.7,82.1,78.0,838,1.16e-06,3.17,1.8,Fatigue Cracking,1018.4,1.0,0.454,0.794,0.837,1.97,82.0,0.64,0.898
WLD_005309,-29.5,113.5,1970,0.8839,1.0103,14.3,97.3,92.5,19536,1.02e-06,-0.08,1.96,Intermetallic Embrittlement,1970.0,0.101,0.494,0.929,0.882,2.52,177.4,0.747,0.621
WLD_005310,-34.2,119.2,8785,1.3975,2.0542,46.99,74.4,70.6,18902,1.37e-06,6.71,2.22,Fatigue Cracking,8785.0,0.465,0.202,0.686,0.768,3.29,157.0,0.771,0.655
WLD_005311,-25.4,97.3,6968,8.5901,11.7362,36.63,83.8,79.6,3641,3.14e-06,4.13,1.7,Fatigue Cracking,1461.0,1.0,0.353,0.8,0.849,2.64,68.8,0.819,0.81
WLD_005312,-29.4,92.7,749,12.2118,14.411,18.01,92.3,87.6,4384,1.22e-06,1.21,1.65,Interface Delamination,749.0,0.171,0.481,0.696,0.858,0.39,111.6,0.839,0.806
WLD_005313,-30.1,83.0,3187,0.8608,0.9476,10.08,90.2,85.6,8975,1.4e-06,-3.06,2.43,Oxidation,3187.0,0.355,0.7,0.67,0.898,1.58,121.2,0.853,0.704
WLD_005314,-25.5,96.0,8871,7.289,10.3907,42.55,73.2,69.6,7899,2.52e-06,4.98,1.88,Fatigue Cracking,3369.4,1.0,0.241,0.782,0.93,1.63,195.2,0.787,0.684
WLD_005315,-38.2,126.8,5835,0.817,0.9126,11.7,79.2,75.2,2772,1.47e-06,4.65,1.53,Fatigue Cracking,1425.4,1.0,0.579,0.852,0.817,4.38,186.8,0.7,0.818
WLD_005316,-36.4,107.8,596,6.6356,7.4624,12.46,93.2,88.6,2789,2.6e-06,11.72,1.99,Interface Delamination,596.0,0.214,0.542,0.979,0.796,4.77,61.8,0.667,0.603
WLD_005317,-23.0,144.9,3635,29.6712,37.4791,26.31,79.8,75.8,1487,2.33e-06,6.79,2.58,Interface Delamination,897.2,1.0,0.336,0.888,0.713,2.86,189.1,0.88,0.837
WLD_005318,-32.1,96.4,387,2.4249,2.7903,15.07,91.8,87.2,27539,1.73e-06,5.3,2.38,Fatigue Cracking,387.0,0.014,0.608,0.615,0.713,2.44,145.0,0.604,0.784
WLD_005319,-25.5,123.8,8121,10.2491,12.6158,23.09,66.4,63.1,1862,1.01e-06,8.45,1.85,Fatigue Cracking,3933.5,1.0,0.401,0.786,0.903,0.8,141.9,0.51,0.605
WLD_005320,-35.6,136.6,7442,0.0695,0.089,28.02,83.7,79.5,5954,1.73e-06,4.95,2.77,Thermal Degradation,4532.2,1.0,0.388,0.705,0.833,3.46,59.2,0.867,0.749
WLD_005321,-29.4,130.0,5232,1.7751,2.3591,32.9,89.5,85.0,8264,7.1e-07,6.06,2.06,Thermal Degradation,2454.6,0.633,0.369,0.829,0.775,2.49,162.9,0.676,0.829
WLD_005322,-38.4,118.4,115,1.3147,1.5005,14.13,95.7,90.9,12884,1.19e-06,7.84,2.26,Intermetallic Embrittlement,115.0,0.009,0.487,0.642,0.768,1.56,128.2,0.53,0.771
WLD_005323,-36.4,106.6,5708,1.013,1.2306,21.48,76.9,73.1,14955,1.53e-06,8.48,2.8,Thermal Degradation,5708.0,0.382,0.42,0.661,0.734,0.46,196.3,0.769,0.935
WLD_005324,-32.1,85.6,7119,0.279,0.3638,30.4,71.3,67.7,5180,1.97e-06,2.18,1.9,Thermal Degradation,4403.9,1.0,0.302,0.655,0.877,0.8,187.6,0.711,0.635
WLD_005325,-23.7,138.8,4679,2.0061,2.4386,21.56,79.4,75.5,2267,1.54e-06,7.2,2.01,Intermetallic Embrittlement,1248.0,1.0,0.332,0.943,0.727,2.45,61.7,0.574,0.926
WLD_005326,-20.3,80.6,8214,654.4737,734.4216,12.22,78.6,74.7,2194,2.085e-05,6.11,7.42,Thermal Degradation,637.6,1.0,0.521,0.785,0.702,0.31,119.9,0.676,0.933
WLD_005327,-30.8,123.2,8848,8.3964,10.5241,25.34,83.3,79.2,7650,1.21e-06,-3.81,2.05,Fatigue Cracking,4452.8,1.0,0.463,0.921,0.89,3.85,176.8,0.629,0.666
WLD_005328,-39.4,88.1,7669,4.2364,5.2704,24.41,80.2,76.2,4550,1.58e-06,0.8,2.06,Fatigue Cracking,3971.3,1.0,0.457,0.713,0.824,1.26,196.2,0.758,0.618
WLD_005329,-34.5,107.0,1341,43.9674,49.3094,12.15,88.0,83.6,2403,2.48e-06,3.77,2.21,Interface Delamination,1341.0,0.558,0.518,0.765,0.935,4.92,185.7,0.534,0.702
WLD_005330,-32.6,109.7,3904,7.2274,8.2997,14.84,98.7,93.8,22706,1.38e-06,3.18,3.47,Intermetallic Embrittlement,3904.0,0.172,0.495,0.832,0.71,3.83,100.0,0.619,0.725
WLD_005331,-39.4,83.2,8755,0.6737,0.8829,31.06,73.1,69.4,46304,9e-07,-1.12,2.31,Thermal Degradation,8755.0,0.189,0.305,0.843,0.937,2.17,197.8,0.534,0.645
WLD_005332,-33.5,108.0,9848,7.194,8.8264,22.69,65.2,61.9,2300,1.97e-06,7.86,1.83,Thermal Degradation,1760.4,1.0,0.349,0.769,0.813,1.65,114.1,0.875,0.688
WLD_005333,-31.0,113.5,7415,0.2014,0.2384,18.38,85.7,81.4,13261,7.3e-07,4.96,2.45,Fatigue Cracking,4001.8,0.559,0.544,0.653,0.934,0.18,186.7,0.827,0.824
WLD_005334,-36.3,116.8,4981,0.2037,0.251,23.21,82.6,78.4,9434,2.11e-06,7.92,1.92,Intermetallic Embrittlement,4981.0,0.528,0.331,0.801,0.948,2.63,168.3,0.853,0.774
WLD_005335,-38.0,92.6,264,14.7149,18.1293,23.2,95.9,91.1,7437,2.36e-06,8.62,1.85,Interface Delamination,264.0,0.035,0.447,0.969,0.782,4.27,193.8,0.752,0.706
WLD_005336,-36.9,80.8,9648,2.5101,3.2509,29.51,75.9,72.1,34833,1.22e-06,2.21,4.59,Thermal Degradation,9648.0,0.277,0.334,0.8,0.831,3.32,60.7,0.733,0.929
WLD_005337,-36.3,133.4,7699,1.7429,2.1503,23.37,88.3,83.8,19710,7.8e-07,5.37,1.86,Fatigue Cracking,7699.0,0.391,0.508,0.735,0.776,4.92,104.0,0.8,0.649
WLD_005338,-30.9,121.1,9908,3.9266,5.3791,36.99,74.2,70.5,5222,1.96e-06,6.32,1.95,Thermal Degradation,3122.7,1.0,0.251,0.889,0.857,1.52,122.6,0.551,0.671
WLD_005339,-37.8,114.4,9014,0.6658,0.8441,26.77,68.5,65.1,4963,1.95e-06,6.37,1.77,Fatigue Cracking,2065.8,1.0,0.375,0.694,0.888,3.61,101.3,0.679,0.764
WLD_005340,-21.5,112.3,308,10.6432,11.675,9.69,96.3,91.5,2834,7.7e-07,7.92,2.75,Interface Delamination,308.0,0.109,0.585,0.642,0.812,1.43,70.7,0.68,0.67
WLD_005341,-31.4,101.4,2281,1.8821,2.1977,16.77,97.6,92.7,38382,1.08e-06,0.71,2.39,Intermetallic Embrittlement,2281.0,0.059,0.47,0.89,0.731,1.75,60.3,0.542,0.68
WLD_005342,-38.1,85.0,9190,12.4381,16.6973,34.24,76.7,72.8,3930,1.44e-06,9.37,2.95,Fatigue Cracking,1326.3,1.0,0.341,0.785,0.88,2.56,56.2,0.505,0.908
WLD_005343,-27.4,90.9,9762,8.0318,11.362,41.46,79.6,75.7,6566,1.56e-06,4.22,1.32,Fatigue Cracking,3528.1,1.0,0.284,0.93,0.939,3.45,181.7,0.734,0.948
WLD_005344,-26.5,122.1,3657,8.7678,11.4988,31.15,76.8,72.9,2309,4.54e-06,2.65,1.96,Interface Delamination,762.6,1.0,0.272,0.951,0.792,3.57,193.7,0.833,0.802
WLD_005345,-23.3,88.0,5998,2.2631,2.9975,32.45,83.5,79.3,24597,1.64e-06,4.44,2.01,Fatigue Cracking,5998.0,0.244,0.393,0.758,0.888,1.11,124.8,0.591,0.883
WLD_005346,-24.8,146.2,7989,1.0563,1.2993,23.01,73.8,70.1,3217,1.29e-06,6.42,1.79,Fatigue Cracking,1944.7,1.0,0.439,0.656,0.845,0.18,55.2,0.582,0.879
WLD_005347,-32.3,107.4,5498,2.736,3.1489,15.09,91.2,86.6,8166,1.84e-06,-3.17,3.29,Fatigue Cracking,4828.0,0.673,0.605,0.886,0.849,2.7,179.7,0.844,0.776
WLD_005348,-38.1,140.4,6942,2.3081,3.1083,34.67,90.9,86.4,2056,2.03e-06,8.14,1.97,Fatigue Cracking,735.3,1.0,0.408,0.893,0.864,2.05,133.3,0.793,0.697
WLD_005349,-34.2,140.9,5970,1.5226,2.037,33.78,94.4,89.7,2882,1.03e-06,-4.58,1.65,Fatigue Cracking,1558.4,1.0,0.434,0.726,0.819,2.03,195.0,0.706,0.751
WLD_005350,-33.1,80.2,6442,0.7028,0.8634,22.86,90.9,86.3,5670,1.7e-06,4.11,2.21,Fatigue Cracking,5232.2,1.0,0.526,0.682,0.711,4.79,129.4,0.554,0.618
WLD_005351,-25.9,92.6,3761,0.8606,1.0588,23.03,90.1,85.6,9999,2.15e-06,7.51,1.83,Intermetallic Embrittlement,2723.4,0.376,0.37,0.788,0.754,3.66,79.2,0.821,0.779
WLD_005352,-27.2,86.3,578,7.3063,8.2318,12.67,90.2,85.7,28844,1.1e-06,7.09,1.63,Interface Delamination,578.0,0.02,0.524,0.777,0.907,3.9,70.1,0.887,0.842
WLD_005353,-33.9,114.6,5417,1.3531,1.6537,22.21,89.7,85.2,6043,3.7e-07,1.93,1.95,Fatigue Cracking,4579.6,0.896,0.526,0.693,0.909,3.08,84.2,0.638,0.662
WLD_005354,-38.7,93.9,5956,1.0182,1.3221,29.85,94.1,89.4,7676,2.43e-06,5.04,3.92,Fatigue Cracking,4526.0,0.776,0.472,0.763,0.811,1.52,157.8,0.55,0.945
WLD_005355,-33.2,90.9,7400,1.1461,1.5194,32.57,83.6,79.5,5460,2.03e-06,11.1,3.6,Fatigue Cracking,5299.3,1.0,0.392,0.788,0.737,1.21,125.1,0.755,0.782
WLD_005356,-30.7,97.9,7616,10.0409,11.6726,16.25,85.2,80.9,6289,1.56e-06,-0.79,1.91,Fatigue Cracking,4473.3,1.0,0.563,0.684,0.917,3.2,146.0,0.835,0.902
WLD_005357,-35.7,105.5,855,1.3697,1.6008,16.87,89.3,84.8,12411,2.05e-06,6.54,1.94,Intermetallic Embrittlement,855.0,0.069,0.428,0.806,0.744,0.85,67.1,0.847,0.776
WLD_005358,-23.1,101.2,7188,1.168,1.3808,18.22,82.4,78.3,12082,1.05e-06,2.37,2.17,Thermal Degradation,2724.3,0.595,0.48,0.61,0.825,1.95,170.8,0.73,0.683
WLD_005359,-38.7,138.1,6421,3.2124,4.0333,25.56,90.1,85.6,1433,2.39e-06,7.99,1.96,Fatigue Cracking,1090.6,1.0,0.495,0.934,0.942,1.37,132.9,0.515,0.615
WLD_005360,-39.6,101.5,7270,0.3022,0.3893,28.81,88.4,84.0,5877,5e-07,1.95,2.03,Fatigue Cracking,2289.9,1.0,0.454,0.918,0.757,1.95,104.4,0.543,0.603
WLD_005361,-25.2,125.7,5136,11.9346,14.774,23.79,80.4,76.4,3862,2.6e-06,6.8,1.42,Fatigue Cracking,1084.9,1.0,0.464,0.96,0.941,0.89,103.2,0.645,0.751
WLD_005362,-30.4,88.2,8233,1.0349,1.5004,44.98,77.3,73.5,21897,1.62e-06,1.71,1.43,Thermal Degradation,8233.0,0.376,0.187,0.976,0.856,3.28,120.1,0.873,0.705
WLD_005363,-37.7,81.9,8850,11.6511,15.5904,33.81,72.9,69.2,22817,1.43e-06,14.08,2.11,Fatigue Cracking,8619.4,0.388,0.326,0.913,0.913,0.23,189.9,0.758,0.806
WLD_005364,-21.3,99.5,9682,0.2533,0.3244,28.06,69.2,65.7,12737,1.57e-06,4.65,2.56,Fatigue Cracking,5328.3,0.76,0.365,0.786,0.739,3.95,76.2,0.861,0.688
WLD_005365,-27.7,139.7,5620,0.0484,0.0619,27.98,83.5,79.3,3280,1.31e-06,5.0,1.82,Thermal Degradation,1937.7,1.0,0.388,0.602,0.79,2.25,116.3,0.654,0.661
WLD_005366,-27.9,91.4,6013,1.1417,1.2975,13.64,82.8,78.7,15676,1.27e-06,10.31,1.52,Fatigue Cracking,6013.0,0.384,0.578,0.68,0.86,3.34,140.3,0.771,0.763
WLD_005367,-39.0,135.2,2036,5.0352,6.0849,20.85,80.7,76.7,1897,2.1e-06,8.57,2.23,Interface Delamination,642.0,1.0,0.395,0.755,0.901,1.28,61.5,0.774,0.709
WLD_005368,-34.6,109.0,8492,47.3576,53.7442,13.49,73.2,69.5,1930,2.84e-06,6.66,2.0,Fatigue Cracking,927.0,1.0,0.531,0.776,0.894,2.02,189.7,0.667,0.912
WLD_005369,-30.0,109.2,2192,0.3752,0.4438,18.28,87.2,82.8,13247,1.12e-06,5.7,1.78,Mechanical Wear,2192.0,0.165,0.653,0.889,0.771,2.45,58.2,0.624,0.917
WLD_005370,-21.2,101.9,368,1.6015,1.8347,14.56,100.0,95.0,21513,2.42e-06,7.3,2.7,Intermetallic Embrittlement,368.0,0.017,0.504,0.868,0.772,4.26,198.6,0.837,0.778
WLD_005371,-33.9,135.6,300,1.141,1.2848,12.6,93.7,89.0,3435,5.5e-07,-1.29,2.6,Oxidation,300.0,0.087,0.692,0.72,0.858,2.96,100.0,0.899,0.717
WLD_005372,-33.4,108.0,3563,182.987,225.2775,23.11,84.1,79.9,1216,6.54e-06,15.08,3.58,Interface Delamination,727.6,1.0,0.389,0.611,0.749,0.45,122.2,0.686,0.68
WLD_005373,-23.0,99.0,7502,1.7506,2.2587,29.02,72.5,68.9,23701,1.67e-06,3.42,2.72,Fatigue Cracking,7502.0,0.317,0.372,0.957,0.834,2.3,102.6,0.535,0.746
WLD_005374,-26.6,82.9,9300,0.4173,0.5491,31.59,74.3,70.6,7232,1.49e-06,4.27,2.73,Fatigue Cracking,2553.3,1.0,0.356,0.843,0.911,1.44,70.5,0.654,0.918
