sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um
WLD_005030,Copper,Aluminum,441.6,Oxide-cleaned,Passivated,Friction Stir Welding,1742.5,94.1,1079.0,4.161,,,23.7,20.6,62.9,Tungsten,Air,4.89
WLD_005031,Aluminum,Aluminum,411.5,Oxide-cleaned,Oxide-cleaned,Resistance Spot Welding,2011.2,,2107.3,0.683,,,103.2,25.4,72.1,Graphite,Air,3.44
WLD_005032,Aluminum,Steel,120.5,Anodized,Anodized,Ultrasonic Welding,1986.7,40.4,1466.4,1.107,,,97.1,24.0,68.6,Molybdenum,None,1.6
WLD_005033,Aluminum,Steel,307.6,Bare,Oxide-cleaned,Ultrasonic Welding,2312.5,26.8,1270.2,0.621,,,54.5,23.1,40.0,Tungsten,Helium,0.77
WLD_005034,Titanium,Copper,175.9,Bare,Anodized,Resistance Spot Welding,1682.0,,2562.2,0.793,,,113.2,30.2,54.8,Graphite,Argon,3.7
WLD_005035,Aluminum,Steel,469.6,Nickel-plated,Bare,Laser Welding,1121.6,,33.3,0.017,115.3,924.5,45.4,25.5,48.1,Molybdenum,None,3.7
WLD_005036,Copper,Steel,80.1,Oxide-cleaned,Silver-plated,Ultrasonic Welding,1453.4,34.7,1116.0,0.164,,,29.7,29.1,36.7,Graphite,Air,2.32
WLD_005037,Aluminum,Aluminum,250.4,Tin-plated,Passivated,Electron Beam Welding,3071.9,70.3,2188.3,4.105,6.0,470.6,118.5,30.5,34.1,Copper,Air,1.0
WLD_005038,Copper,Steel,111.1,Passivated,Tin-plated,Friction Stir Welding,3915.8,92.9,1687.1,1.776,10.3,478.2,130.0,20.2,39.5,Molybdenum,Nitrogen,4.81
WLD_005039,Aluminum,Steel,260.3,Silver-plated,Silver-plated,Ultrasonic Welding,2519.8,43.4,669.6,1.213,,,144.4,29.3,44.0,Tungsten,Air,2.32
WLD_005040,Copper,Steel,466.2,Silver-plated,Bare,Electron Beam Welding,765.4,67.8,2922.8,1.266,,,86.3,25.8,40.3,Molybdenum,Nitrogen,3.09
WLD_005041,Aluminum,Aluminum,472.9,Passivated,Nickel-plated,Resistance Spot Welding,2021.3,,4982.5,0.36,,,123.2,22.9,31.4,Tungsten,Nitrogen,1.21
WLD_005042,Aluminum,Aluminum,150.7,Passivated,Tin-plated,Resistance Spot Welding,5101.2,,4782.5,0.683,,,64.3,22.8,71.8,Molybdenum,Nitrogen,1.77
WLD_005043,Brass,Aluminum,167.6,Bare,Passivated,Friction Stir Welding,2391.4,,1928.4,0.71,12.7,273.6,112.3,21.0,44.9,Molybdenum,None,2.26
WLD_005044,Titanium,Copper,452.6,Anodized,Passivated,Electron Beam Welding,580.7,57.7,2330.7,4.778,,217.3,121.9,26.5,38.2,Copper,Helium,0.93
WLD_005045,Copper,Steel,65.7,Tin-plated,Nickel-plated,Electron Beam Welding,3894.9,,2046.3,0.281,35.8,438.4,61.0,26.2,73.9,Molybdenum,None,2.11
WLD_005046,Nickel,Copper,339.9,Bare,Passivated,Laser Welding,947.2,,257.2,0.013,71.9,513.7,46.3,29.6,58.8,Molybdenum,Argon,2.27
WLD_005047,Copper,Steel,260.8,Nickel-plated,Oxide-cleaned,Electron Beam Welding,1381.3,73.0,1707.1,2.254,,485.1,124.6,26.2,49.6,Copper,Nitrogen,1.37
WLD_005048,Nickel,Copper,125.6,Bare,Silver-plated,Laser Welding,554.1,,319.9,0.024,11.7,67.6,110.2,21.5,48.9,Molybdenum,Helium,2.52
WLD_005049,Copper,Steel,352.5,Anodized,Bare,Laser Welding,1668.6,,244.3,0.004,161.3,879.5,24.0,19.5,35.8,Copper,None,2.53
WLD_005050,Copper,Steel,395.6,Silver-plated,Silver-plated,Cold Welding,2605.7,83.8,209.0,4.836,,,29.7,27.3,76.8,Copper,Nitrogen,3.87
WLD_005051,Brass,Aluminum,357.0,Anodized,Passivated,Friction Stir Welding,704.4,64.1,2632.4,3.426,159.9,,40.9,23.9,59.4,Tungsten,Nitrogen,2.43
WLD_005052,Aluminum,Steel,190.1,Passivated,Anodized,Cold Welding,287.2,,1153.7,4.396,,2.4,139.2,31.5,61.8,Tungsten,Air,4.1
WLD_005053,Copper,Nickel,106.1,Anodized,Passivated,Cold Welding,2390.6,22.1,805.7,1.096,,,40.8,23.8,31.4,Molybdenum,Air,4.06
WLD_005054,Copper,Steel,251.9,Silver-plated,Electropolished,Electron Beam Welding,2999.4,,1700.4,3.504,250.4,,28.5,30.4,61.7,Tungsten,Nitrogen,0.15
WLD_005055,Copper,Nickel,308.7,Passivated,Passivated,Electron Beam Welding,2871.8,53.1,2159.6,0.333,64.4,,83.3,21.3,68.9,Copper,Helium,3.35
WLD_005056,Nickel,Copper,185.7,Electropolished,Passivated,Cold Welding,529.0,54.9,657.8,2.072,,334.7,72.7,32.4,47.0,Molybdenum,Argon,3.34
WLD_005057,Aluminum,Aluminum,371.0,Tin-plated,Oxide-cleaned,Cold Welding,2616.1,,709.1,1.277,,39.7,103.9,23.9,54.2,Molybdenum,Argon,4.38
WLD_005058,Copper,Steel,374.2,Anodized,Anodized,Ultrasonic Welding,1634.2,47.6,1227.4,0.167,,,35.7,31.5,56.6,Graphite,Air,2.87
WLD_005059,Titanium,Copper,462.8,Anodized,Silver-plated,Ultrasonic Welding,2699.1,40.5,1849.7,0.419,,,94.4,21.0,31.0,Molybdenum,Helium,1.07
WLD_005060,Aluminum,Aluminum,437.2,Electropolished,Oxide-cleaned,Laser Welding,288.4,,465.2,0.019,185.8,484.2,33.4,25.3,37.4,Graphite,Argon,4.44
WLD_005061,Copper,Aluminum,298.7,Anodized,Nickel-plated,Friction Stir Welding,2172.9,,468.4,1.463,,360.4,78.6,21.0,49.0,Graphite,None,2.97
WLD_005062,Nickel,Copper,175.8,Passivated,Passivated,Friction Stir Welding,416.3,79.8,632.0,4.126,,,125.2,19.3,44.5,Copper,Air,2.83
WLD_005063,Copper,Aluminum,319.8,Bare,Tin-plated,Electron Beam Welding,3474.3,75.3,581.5,1.951,187.7,,146.7,19.9,35.9,Copper,Argon,3.79
WLD_005064,Copper,Steel,451.5,Tin-plated,Tin-plated,Electron Beam Welding,806.8,,651.6,2.07,247.7,,148.3,27.7,77.0,Molybdenum,Helium,2.8
WLD_005065,Aluminum,Steel,161.0,Silver-plated,Electropolished,Electron Beam Welding,1953.9,,2114.9,3.091,,,134.1,30.2,64.1,Tungsten,None,2.69
WLD_005066,Aluminum,Aluminum,243.1,Passivated,Passivated,Laser Welding,504.7,,168.9,0.044,191.7,485.7,138.7,20.7,57.3,Graphite,Argon,2.86
WLD_005067,Brass,Aluminum,130.8,Tin-plated,Electropolished,Electron Beam Welding,220.7,,2447.4,2.75,,,72.4,30.9,68.4,Graphite,Air,1.45
WLD_005068,Copper,Nickel,102.3,Bare,Bare,Cold Welding,2500.7,49.4,2175.3,0.68,136.3,417.6,53.0,20.1,63.3,Molybdenum,Air,1.49
WLD_005069,Aluminum,Aluminum,171.8,Bare,Passivated,Resistance Spot Welding,1520.5,,2135.2,0.287,,,79.6,32.5,61.7,Molybdenum,Nitrogen,2.14
WLD_005070,Copper,Aluminum,471.9,Electropolished,Anodized,Laser Welding,1515.1,,161.1,0.09,62.9,694.2,41.4,18.1,77.9,Molybdenum,Air,3.41
WLD_005071,Nickel,Copper,467.9,Tin-plated,Nickel-plated,Ultrasonic Welding,1267.9,45.7,161.7,1.493,,,75.0,26.9,64.4,Molybdenum,Argon,3.37
WLD_005072,Nickel,Copper,283.9,Electropolished,Nickel-plated,Laser Welding,1456.4,,388.0,0.079,172.2,317.1,117.0,24.2,77.3,Tungsten,Air,1.53
WLD_005073,Brass,Aluminum,461.4,Tin-plated,Bare,Resistance Spot Welding,3064.6,,1749.5,0.296,,,99.4,33.9,42.2,Graphite,Nitrogen,2.1
WLD_005074,Brass,Aluminum,292.8,Tin-plated,Silver-plated,Electron Beam Welding,3101.0,,146.3,2.302,89.7,,100.0,28.2,78.7,Graphite,Air,1.62
WLD_005075,Copper,Aluminum,303.3,Electropolished,Silver-plated,Electron Beam Welding,3412.1,,1072.1,0.794,197.4,,59.5,34.5,37.6,Copper,Air,1.66
WLD_005076,Aluminum,Steel,482.8,Anodized,Bare,Electron Beam Welding,1274.0,,549.5,3.708,,330.7,24.6,27.1,62.2,Tungsten,None,4.93
WLD_005077,Copper,Aluminum,205.8,Oxide-cleaned,Electropolished,Resistance Spot Welding,2081.0,,3481.0,0.836,,,20.4,22.7,48.4,Tungsten,Helium,2.13
WLD_005078,Aluminum,Aluminum,110.3,Bare,Oxide-cleaned,Laser Welding,1053.9,,471.6,0.051,157.7,614.6,49.3,29.9,32.5,Tungsten,Argon,3.45
WLD_005079,Copper,Nickel,228.0,Electropolished,Oxide-cleaned,Electron Beam Welding,876.8,,209.1,0.571,,460.1,67.4,27.7,55.0,Molybdenum,Air,3.48
WLD_005080,Aluminum,Aluminum,53.3,Passivated,Anodized,Friction Stir Welding,2934.0,,2285.7,2.188,261.7,271.8,122.5,21.2,63.1,Tungsten,Nitrogen,4.82
WLD_005081,Copper,Steel,480.0,Anodized,Anodized,Ultrasonic Welding,1135.5,23.2,1863.8,0.924,,,67.4,33.2,42.0,Graphite,Air,2.11
WLD_005082,Brass,Aluminum,481.3,Electropolished,Bare,Resistance Spot Welding,6681.5,,1703.3,0.389,,,116.2,28.4,51.2,Graphite,None,2.83
WLD_005083,Nickel,Copper,118.5,Passivated,Silver-plated,Resistance Spot Welding,1419.0,,2462.7,0.492,,,74.7,26.3,35.9,Copper,None,0.64
WLD_005084,Aluminum,Aluminum,313.5,Bare,Anodized,Resistance Spot Welding,6075.0,,3631.5,0.281,,,41.5,23.4,37.2,Graphite,Helium,0.67
WLD_005085,Copper,Nickel,454.1,Electropolished,Nickel-plated,Ultrasonic Welding,1919.4,45.7,721.3,0.11,,,135.7,21.4,61.1,Graphite,Helium,1.79
WLD_005086,Aluminum,Aluminum,145.5,Silver-plated,Anodized,Laser Welding,1042.1,,303.1,0.052,101.0,578.7,25.1,21.6,39.3,Molybdenum,Nitrogen,2.23
WLD_005087,Titanium,Copper,427.4,Passivated,Electropolished,Laser Welding,324.9,,5.3,0.051,64.3,360.8,42.0,20.9,70.3,Graphite,None,2.4
WLD_005088,Titanium,Copper,97.7,Anodized,Tin-plated,Friction Stir Welding,2987.4,,435.1,4.356,43.9,,107.7,21.6,75.3,Tungsten,Argon,4.83
WLD_005089,Copper,Steel,155.3,Bare,Anodized,Laser Welding,808.5,,195.5,0.051,140.7,511.4,49.9,25.7,67.7,Tungsten,Air,3.04
WLD_005090,Nickel,Copper,468.4,Tin-plated,Anodized,Electron Beam Welding,715.3,,2757.7,0.157,,,59.6,32.0,31.2,Tungsten,Helium,2.44
WLD_005091,Nickel,Copper,61.1,Electropolished,Tin-plated,Friction Stir Welding,2941.8,94.3,1279.6,4.315,,,21.2,25.8,44.2,Molybdenum,Helium,1.65
WLD_005092,Nickel,Copper,154.8,Nickel-plated,Nickel-plated,Friction Stir Welding,843.1,32.0,1974.7,0.717,,486.8,52.1,27.0,65.7,Tungsten,Air,4.86
WLD_005093,Aluminum,Steel,291.9,Oxide-cleaned,Passivated,Electron Beam Welding,3492.5,86.9,2454.7,4.503,,192.5,114.7,32.0,65.5,Graphite,Argon,0.31
WLD_005094,Copper,Aluminum,60.5,Oxide-cleaned,Oxide-cleaned,Laser Welding,1791.8,,133.3,0.023,158.8,152.5,132.9,29.1,31.6,Copper,Argon,2.64
WLD_005095,Brass,Aluminum,244.7,Tin-plated,Nickel-plated,Friction Stir Welding,551.8,46.4,2257.5,3.352,15.3,414.9,128.4,31.5,53.4,Copper,None,2.57
WLD_005096,Aluminum,Aluminum,70.5,Bare,Anodized,Ultrasonic Welding,2585.8,27.5,927.4,0.912,,,142.8,30.2,43.1,Molybdenum,None,1.38
WLD_005097,Copper,Nickel,128.1,Silver-plated,Anodized,Resistance Spot Welding,1864.5,,3896.1,0.74,,,108.5,21.8,36.5,Tungsten,Nitrogen,2.46
WLD_005098,Copper,Aluminum,153.8,Tin-plated,Anodized,Electron Beam Welding,3339.2,,1883.4,1.856,36.3,,46.3,25.7,43.0,Graphite,None,0.29
WLD_005099,Copper,Nickel,429.2,Nickel-plated,Tin-plated,Resistance Spot Welding,2194.9,,1028.2,0.9,,,76.5,23.5,77.6,Graphite,Helium,2.77
WLD_005100,Titanium,Copper,272.2,Bare,Passivated,Electron Beam Welding,2299.4,76.3,1054.3,1.855,,48.7,57.7,27.1,54.9,Copper,Nitrogen,4.01
WLD_005101,Copper,Steel,199.5,Nickel-plated,Bare,Ultrasonic Welding,2577.9,42.9,496.4,0.211,,,88.0,22.0,73.5,Tungsten,Argon,0.79
WLD_005102,Nickel,Copper,356.0,Anodized,Nickel-plated,Electron Beam Welding,3516.6,,612.4,0.779,,,35.7,18.4,30.2,Copper,None,2.3
WLD_005103,Copper,Aluminum,345.0,Tin-plated,Oxide-cleaned,Ultrasonic Welding,759.4,31.0,711.3,1.142,,,63.2,29.4,39.2,Copper,None,0.82
WLD_005104,Copper,Aluminum,349.4,Electropolished,Anodized,Laser Welding,1816.3,,178.1,0.1,23.1,717.1,40.9,25.5,50.1,Graphite,Argon,4.62
WLD_005105,Copper,Nickel,419.0,Silver-plated,Passivated,Friction Stir Welding,1802.7,19.3,2426.8,3.995,225.1,461.3,99.5,27.1,55.6,Copper,Argon,3.23
WLD_005106,Nickel,Copper,496.5,Passivated,Electropolished,Friction Stir Welding,3016.5,,764.3,3.133,161.0,169.4,104.9,20.9,60.8,Graphite,Air,0.61
WLD_005107,Titanium,Copper,247.2,Oxide-cleaned,Oxide-cleaned,Ultrasonic Welding,2967.0,36.2,573.2,1.172,,,124.7,18.1,78.1,Copper,Air,2.32
WLD_005108,Copper,Steel,500.0,Bare,Bare,Laser Welding,753.6,,57.4,0.05,166.0,105.6,116.0,24.5,43.4,Graphite,None,3.41
WLD_005109,Copper,Nickel,377.6,Nickel-plated,Oxide-cleaned,Electron Beam Welding,2765.4,,2504.6,2.877,255.3,201.1,67.9,20.4,73.5,Graphite,Nitrogen,2.24
WLD_005110,Aluminum,Aluminum,455.4,Nickel-plated,Nickel-plated,Cold Welding,2334.0,79.0,1300.8,2.522,263.7,99.6,84.8,28.4,76.3,Tungsten,Nitrogen,0.19
WLD_005111,Aluminum,Aluminum,411.0,Bare,Tin-plated,Laser Welding,1390.2,,431.7,0.093,58.8,505.3,59.2,26.5,50.9,Copper,Air,4.59
WLD_005112,Brass,Aluminum,474.0,Electropolished,Anodized,Cold Welding,3264.0,,72.7,0.184,27.0,288.2,121.5,24.0,45.7,Molybdenum,Argon,0.93
WLD_005113,Titanium,Copper,456.2,Tin-plated,Silver-plated,Friction Stir Welding,3129.7,59.1,2045.9,1.757,85.7,307.8,126.8,32.3,32.7,Copper,None,3.38
WLD_005114,Copper,Steel,61.9,Oxide-cleaned,Oxide-cleaned,Ultrasonic Welding,1508.3,15.8,289.3,1.988,,,30.3,22.3,39.5,Molybdenum,None,2.11
WLD_005115,Copper,Steel,466.1,Oxide-cleaned,Bare,Electron Beam Welding,296.9,9.8,1321.7,1.049,218.1,,143.8,34.2,66.1,Molybdenum,Air,0.48
WLD_005116,Copper,Aluminum,277.6,Tin-plated,Passivated,Ultrasonic Welding,2481.8,17.4,959.3,0.261,,,64.3,18.8,68.8,Tungsten,Helium,3.19
WLD_005117,Copper,Steel,496.2,Nickel-plated,Oxide-cleaned,Laser Welding,659.7,,314.6,0.088,27.6,152.7,115.3,29.1,47.3,Molybdenum,Nitrogen,2.06
WLD_005118,Aluminum,Steel,353.7,Tin-plated,Nickel-plated,Friction Stir Welding,1906.5,,300.3,2.587,108.7,16.4,50.6,24.8,36.6,Molybdenum,Argon,1.93
WLD_005119,Brass,Aluminum,380.0,Passivated,Tin-plated,Resistance Spot Welding,1476.6,,4260.0,0.263,,,148.7,19.4,40.3,Tungsten,Air,3.51
WLD_005120,Nickel,Copper,494.2,Tin-plated,Nickel-plated,Laser Welding,288.2,,75.5,0.06,46.1,228.4,38.5,20.1,77.2,Molybdenum,Argon,1.7
WLD_005121,Copper,Nickel,127.4,Nickel-plated,Tin-plated,Resistance Spot Welding,6391.2,,1697.0,0.445,,,91.9,28.6,72.5,Copper,Argon,1.59
WLD_005122,Nickel,Copper,235.2,Nickel-plated,Passivated,Cold Welding,1680.5,,1081.9,4.096,176.4,267.3,25.8,34.9,64.8,Tungsten,Helium,4.91
WLD_005123,Copper,Aluminum,380.1,Tin-plated,Oxide-cleaned,Laser Welding,1383.5,,233.2,0.035,129.7,842.9,24.4,29.1,56.8,Copper,None,2.23
WLD_005124,Aluminum,Aluminum,325.6,Silver-plated,Silver-plated,Cold Welding,3259.0,,1758.5,0.617,,,71.5,18.5,73.8,Graphite,Nitrogen,4.83
WLD_005125,Aluminum,Steel,474.9,Nickel-plated,Passivated,Laser Welding,1458.1,,329.9,0.003,108.6,469.8,88.0,33.4,51.6,Graphite,Argon,2.62
WLD_005126,Copper,Steel,481.8,Nickel-plated,Silver-plated,Cold Welding,3834.2,11.7,670.1,3.166,,,82.4,32.0,53.2,Tungsten,Helium,4.36
WLD_005127,Aluminum,Steel,489.6,Anodized,Electropolished,Friction Stir Welding,1082.5,81.4,1493.7,1.141,241.0,348.6,120.6,22.8,44.6,Molybdenum,None,2.61
WLD_005128,Copper,Nickel,418.3,Nickel-plated,Nickel-plated,Laser Welding,586.5,,203.2,0.083,23.9,321.7,64.2,22.4,49.5,Graphite,None,2.04
WLD_005129,Titanium,Copper,495.3,Anodized,Bare,Cold Welding,981.9,22.0,1141.9,3.907,,,106.2,21.7,36.4,Tungsten,Air,1.12
WLD_005130,Copper,Aluminum,283.8,Passivated,Oxide-cleaned,Laser Welding,802.7,,56.6,0.081,36.7,383.3,54.1,28.2,44.8,Copper,Air,2.68
WLD_005131,Copper,Nickel,441.0,Anodized,Bare,Resistance Spot Welding,6885.2,,4054.2,0.991,,,23.0,23.7,37.1,Molybdenum,Argon,1.65
WLD_005132,Copper,Aluminum,178.3,Electropolished,Electropolished,Laser Welding,1908.4,,217.3,0.008,181.5,127.8,140.1,33.9,66.6,Copper,Nitrogen,4.98
WLD_005133,Titanium,Copper,315.0,Electropolished,Tin-plated,Ultrasonic Welding,1375.7,26.0,1781.9,1.225,,,114.3,34.8,44.4,Tungsten,Helium,3.91
WLD_005134,Copper,Steel,84.5,Anodized,Passivated,Friction Stir Welding,1773.7,,2449.5,3.797,,,43.4,33.7,61.9,Molybdenum,Air,2.58
WLD_005135,Copper,Nickel,164.1,Silver-plated,Silver-plated,Ultrasonic Welding,1249.9,28.8,915.4,1.928,,,41.5,19.8,64.5,Graphite,Air,3.64
WLD_005136,Aluminum,Steel,457.6,Tin-plated,Passivated,Cold Welding,3753.5,37.5,970.8,3.646,120.7,,100.4,20.2,51.5,Copper,Helium,3.52
WLD_005137,Aluminum,Steel,435.7,Electropolished,Nickel-plated,Electron Beam Welding,2084.5,23.1,558.4,1.925,,,143.5,19.0,47.2,Copper,Air,2.3
WLD_005138,Brass,Aluminum,171.4,Oxide-cleaned,Silver-plated,Resistance Spot Welding,3820.0,,713.0,0.896,,,117.9,20.6,34.6,Molybdenum,None,3.3
WLD_005139,Aluminum,Steel,315.7,Anodized,Passivated,Ultrasonic Welding,2068.4,18.6,1503.7,1.613,,,112.7,26.1,79.8,Molybdenum,Helium,3.71
WLD_005140,Copper,Aluminum,465.2,Silver-plated,Tin-plated,Electron Beam Welding,2306.6,,2614.8,3.254,266.0,459.9,144.5,21.4,47.2,Copper,Air,4.84
WLD_005141,Nickel,Copper,308.2,Silver-plated,Nickel-plated,Electron Beam Welding,3363.4,54.6,1908.5,0.629,105.3,,21.9,29.4,33.0,Tungsten,Nitrogen,0.83
WLD_005142,Aluminum,Steel,197.0,Passivated,Tin-plated,Electron Beam Welding,2727.8,32.0,1412.3,1.273,180.3,,21.6,18.9,79.1,Tungsten,Helium,3.14
WLD_005143,Copper,Steel,180.5,Electropolished,Passivated,Laser Welding,840.3,,42.3,0.001,60.3,814.4,99.5,25.2,37.0,Copper,Argon,4.03
WLD_005144,Copper,Steel,303.5,Bare,Passivated,Ultrasonic Welding,2925.9,26.1,1554.3,0.71,,,118.5,29.1,78.3,Graphite,None,1.13
WLD_005145,Nickel,Copper,231.7,Tin-plated,Passivated,Cold Welding,3190.9,25.6,1625.6,3.759,,,71.0,30.6,52.8,Molybdenum,Nitrogen,3.73
WLD_005146,Aluminum,Aluminum,456.8,Silver-plated,Anodized,Resistance Spot Welding,5896.9,,3170.9,0.971,,,38.0,29.8,53.7,Tungsten,Nitrogen,4.62
WLD_005147,Aluminum,Steel,443.0,Oxide-cleaned,Anodized,Resistance Spot Welding,3037.2,,1056.4,0.913,,,99.5,31.9,73.2,Tungsten,Nitrogen,1.64
WLD_005148,Aluminum,Steel,155.2,Nickel-plated,Oxide-cleaned,Resistance Spot Welding,7204.9,,1905.6,0.114,,,90.3,20.0,46.1,Copper,Argon,0.48
WLD_005149,Aluminum,Steel,367.8,Passivated,Anodized,Laser Welding,1684.4,,367.5,0.096,190.6,778.5,113.1,19.5,45.3,Molybdenum,Argon,3.71
WLD_005150,Copper,Nickel,107.9,Passivated,Electropolished,Resistance Spot Welding,2344.6,,2334.1,0.733,,,55.8,30.5,38.7,Copper,Air,2.97
WLD_005151,Aluminum,Steel,461.5,Oxide-cleaned,Oxide-cleaned,Electron Beam Welding,223.9,,2799.4,4.803,170.2,,107.4,20.2,40.6,Molybdenum,Nitrogen,4.9
WLD_005152,Copper,Steel,207.1,Anodized,Anodized,Laser Welding,1399.2,,217.9,0.05,155.6,753.5,129.3,34.1,42.0,Graphite,Nitrogen,4.0
WLD_005153,Copper,Nickel,245.4,Tin-plated,Electropolished,Cold Welding,392.6,,2016.4,3.937,,,60.5,26.7,62.2,Molybdenum,Helium,3.96
WLD_005154,Titanium,Copper,183.9,Bare,Tin-plated,Resistance Spot Welding,6953.1,,2622.5,0.553,,,28.0,29.0,54.4,Copper,Air,4.52
WLD_005155,Nickel,Copper,134.4,Nickel-plated,Passivated,Electron Beam Welding,1468.9,26.4,453.8,2.715,,,89.0,32.8,57.3,Copper,Argon,1.17
WLD_005156,Aluminum,Steel,335.7,Nickel-plated,Oxide-cleaned,Friction Stir Welding,3107.5,,1673.3,3.622,,,68.8,19.2,75.9,Molybdenum,Nitrogen,4.05
WLD_005157,Aluminum,Steel,343.3,Oxide-cleaned,Passivated,Cold Welding,3840.0,82.4,91.9,3.32,,285.1,48.8,29.5,59.3,Graphite,Argon,4.46
WLD_005158,Titanium,Copper,385.0,Tin-plated,Silver-plated,Ultrasonic Welding,1269.1,45.1,123.0,1.841,,,130.7,30.5,36.2,Molybdenum,Air,2.45
WLD_005159,Titanium,Copper,375.8,Anodized,Tin-plated,Resistance Spot Welding,3925.7,,617.1,0.564,,,149.3,20.4,46.6,Graphite,Helium,4.61
WLD_005160,Copper,Steel,348.6,Electropolished,Electropolished,Electron Beam Welding,3871.7,,2777.5,2.722,56.9,43.8,148.4,20.8,49.6,Graphite,None,2.05
WLD_005161,Aluminum,Aluminum,89.5,Bare,Bare,Resistance Spot Welding,1650.1,,4577.2,0.796,,,89.2,30.0,52.3,Molybdenum,None,3.31
WLD_005162,Brass,Aluminum,258.2,Passivated,Electropolished,Ultrasonic Welding,2714.5,44.0,1035.0,1.212,,,101.6,29.9,48.7,Graphite,None,1.49
WLD_005163,Aluminum,Aluminum,389.1,Bare,Bare,Cold Welding,3371.5,27.7,2553.6,4.563,,,37.0,29.8,60.5,Tungsten,Argon,1.26
WLD_005164,Titanium,Copper,250.7,Nickel-plated,Silver-plated,Resistance Spot Welding,3818.6,,3572.9,0.986,,,136.7,31.8,70.7,Molybdenum,None,1.34
WLD_005165,Brass,Aluminum,344.0,Passivated,Bare,Laser Welding,143.7,,94.7,0.072,62.6,420.5,128.2,18.4,32.2,Graphite,Argon,0.51
WLD_005166,Copper,Steel,438.7,Oxide-cleaned,Passivated,Resistance Spot Welding,3773.7,,4889.3,0.978,,,36.2,18.9,54.0,Molybdenum,Argon,0.45
WLD_005167,Copper,Nickel,345.1,Tin-plated,Passivated,Friction Stir Welding,3460.1,,1729.1,3.882,152.7,,120.6,22.6,74.5,Molybdenum,None,2.5
WLD_005168,Aluminum,Steel,472.0,Oxide-cleaned,Silver-plated,Ultrasonic Welding,1656.2,19.0,440.6,0.173,,,126.3,19.2,50.1,Graphite,Helium,4.86
WLD_005169,Nickel,Copper,161.0,Silver-plated,Silver-plated,Resistance Spot Welding,2243.2,,2315.0,0.806,,,34.6,30.6,55.8,Molybdenum,None,2.39
WLD_005170,Copper,Aluminum,396.3,Nickel-plated,Electropolished,Ultrasonic Welding,2046.4,18.1,207.4,1.966,,,77.7,21.1,43.4,Graphite,None,2.5
WLD_005171,Nickel,Copper,198.5,Bare,Bare,Laser Welding,1614.8,,332.2,0.004,57.6,128.3,25.4,28.6,77.4,Molybdenum,Argon,4.31
WLD_005172,Brass,Aluminum,363.0,Electropolished,Passivated,Resistance Spot Welding,5342.7,,3506.0,0.893,,,75.3,27.7,40.2,Copper,Helium,0.47
WLD_005173,Aluminum,Aluminum,456.6,Bare,Silver-plated,Laser Welding,102.1,,110.8,0.098,151.7,219.6,48.8,19.3,52.9,Copper,Argon,2.53
WLD_005174,Titanium,Copper,302.3,Anodized,Oxide-cleaned,Friction Stir Welding,1011.5,,1895.2,2.496,268.8,113.8,41.8,24.8,75.6,Tungsten,Helium,0.76
WLD_005175,Copper,Aluminum,299.6,Nickel-plated,Silver-plated,Laser Welding,110.7,,85.8,0.056,171.6,794.3,52.9,19.2,74.0,Graphite,Argon,4.03
WLD_005176,Aluminum,Steel,67.2,Nickel-plated,Silver-plated,Friction Stir Welding,765.6,,2191.4,3.775,248.2,95.2,97.2,21.9,51.7,Tungsten,Helium,0.83
WLD_005177,Copper,Nickel,392.8,Anodized,Passivated,Laser Welding,915.6,,58.3,0.004,12.5,175.1,132.7,20.0,56.1,Molybdenum,Argon,1.53
WLD_005178,Titanium,Copper,263.0,Anodized,Tin-plated,Resistance Spot Welding,3169.6,,2032.7,0.573,,,134.3,26.7,35.5,Tungsten,Argon,2.39
WLD_005179,Copper,Aluminum,433.3,Oxide-cleaned,Anodized,Friction Stir Welding,3668.1,,1108.2,1.172,79.9,,148.3,31.8,64.9,Copper,Argon,1.73
WLD_005180,Aluminum,Steel,277.4,Passivated,Electropolished,Electron Beam Welding,3681.5,49.5,1574.9,0.286,41.3,,124.5,30.8,55.2,Copper,Argon,0.94
WLD_005181,Brass,Aluminum,252.1,Tin-plated,Anodized,Ultrasonic Welding,2448.3,35.6,1390.4,0.922,,,72.5,32.6,79.3,Copper,Argon,3.63
WLD_005182,Copper,Aluminum,106.5,Passivated,Silver-plated,Resistance Spot Welding,3780.9,,4678.3,0.739,,,108.0,21.6,39.7,Graphite,None,3.3
WLD_005183,Nickel,Copper,358.5,Silver-plated,Anodized,Resistance Spot Welding,6416.3,,4749.4,0.468,,,53.5,30.2,76.3,Copper,None,2.94
WLD_005184,Nickel,Copper,236.4,Nickel-plated,Bare,Friction Stir Welding,978.6,,931.7,0.486,,26.7,134.7,26.8,62.7,Molybdenum,None,2.97
WLD_005185,Copper,Aluminum,102.1,Bare,Tin-plated,Resistance Spot Welding,2468.6,,2595.2,0.5,,,81.9,33.0,48.8,Graphite,Argon,1.33
WLD_005186,Aluminum,Aluminum,133.3,Bare,Nickel-plated,Friction Stir Welding,1903.5,43.0,2013.0,0.914,,237.0,107.1,18.5,45.7,Copper,Helium,4.72
