sample_id,anode_material,cathode_material,tab_thickness_um,anode_surface_finish,cathode_surface_finish,welding_technique,power_W,amplitude_um,force_N,time_s,speed_mm_s,pulse_frequency_Hz,preheat_temperature_C,ambient_temperature_C,ambient_humidity_percent,electrode_material,shielding_gas,surface_roughness_um,weld_width_mm,weld_depth_mm,nugget_diameter_mm,tensile_strength_MPa,shear_strength_MPa,peel_strength_N_mm,contact_resistance_mohm,electrical_conductivity_MS_m,grain_size_um,porosity_percent,intermetallic_thickness_um,thermal_conductivity_W_mK,heat_affected_zone_mm,weld_quality_score,surface_roughness_post_weld_um,hardness_HV,crack_density_per_mm2,void_fraction_percent,oxidation_level,weld_penetration_percent,fusion_zone_area_mm2,min_cycle_temperature_C,max_cycle_temperature_C,total_cycles_tested,initial_contact_resistance_mohm,final_contact_resistance_mohm,resistance_drift_percent,tensile_strength_retention_percent,shear_strength_retention_percent,fatigue_life_cycles,crack_growth_rate_mm_cycle,thermal_expansion_mismatch_ppm_K,stress_concentration_factor,primary_failure_mode,time_to_failure_hours,cycle_life_score,reliability_score,temperature_stability_index,corrosion_resistance_score,dimensional_stability_um,interface_adhesion_strength_MPa,oxidation_resistance_score,creep_resistance_score
WLD_003632,Nickel,Copper,181.3,Oxide-cleaned,Electropolished,Resistance Spot Welding,7142.7,,1867.9,0.103,,,31.0,19.7,66.9,Tungsten,Argon,3.9,2.641,0.181,5.056,50.0,36.6,78.5,3.24,30.56,26.2,0.48,5.24,35.5,2.382,0.56,6.89,177.7,0.0,0.854,Low,74.5,0.376,-34.1,124.1,7668,3.24,3.8304,18.22,82.5,78.3,1326,1.79e-06,0.59,2.96,Fatigue Cracking,1956.8,1.0,0.53,0.904,0.736,1.4,173.0,0.741,0.687
WLD_003633,Copper,Nickel,311.7,Electropolished,Nickel-plated,Cold Welding,3226.6,88.4,2153.9,3.861,32.1,,27.3,30.2,52.4,Tungsten,Air,0.11,1.529,0.312,2.355,264.4,191.6,181.6,0.0515,34.24,35.0,0.0,10.55,28.4,1.604,0.72,2.77,229.9,0.081,0.108,Low,64.1,0.374,-24.1,98.4,5475,0.0515,0.0652,26.6,86.3,82.0,34058,1.95e-06,3.22,1.94,Fatigue Cracking,5475.0,0.161,0.466,0.954,0.919,2.07,81.4,0.659,0.635
WLD_003634,Aluminum,Steel,131.1,Silver-plated,Silver-plated,Electron Beam Welding,3178.3,7.9,145.2,4.522,,397.7,78.2,21.9,57.3,Tungsten,Nitrogen,1.58,1.527,0.131,1.088,280.8,129.8,-6.2,15.976,19.96,35.1,3.18,11.35,13.9,1.574,0.32,4.46,111.9,0.394,3.433,Low,60.8,0.157,-29.7,124.9,6771,15.976,21.7771,36.31,69.2,65.7,10405,2.91e-06,13.42,3.17,Fatigue Cracking,6771.0,0.651,0.283,0.952,0.929,0.88,145.8,0.593,0.817
WLD_003635,Copper,Aluminum,487.0,Passivated,Passivated,Ultrasonic Welding,2216.7,30.6,380.8,0.228,,,37.8,23.3,36.8,Tungsten,None,1.24,0.751,0.487,2.124,50.0,35.5,33.6,3.0546,42.81,16.3,1.51,2.97,43.3,0.869,0.57,4.35,183.5,0.025,1.665,Medium,77.8,0.287,-37.6,84.9,5640,3.0546,3.6872,20.71,78.6,74.6,4805,2.82e-06,3.85,1.71,Fatigue Cracking,2603.6,1.0,0.486,0.814,0.827,4.71,128.7,0.686,0.811
WLD_003636,Copper,Aluminum,186.3,Bare,Oxide-cleaned,Electron Beam Welding,2383.2,14.4,1038.8,0.658,,17.5,104.1,25.3,33.0,Copper,None,2.07,1.214,0.186,1.848,116.3,81.8,52.3,2.0177,40.53,18.9,0.75,3.94,50.0,0.999,0.66,1.45,176.9,0.094,0.585,Medium,60.7,0.177,-26.4,123.6,2425,2.0177,2.4993,23.87,95.2,90.4,12418,1.86e-06,3.48,2.07,Oxidation,2425.0,0.195,0.587,0.879,0.897,0.33,79.4,0.795,0.864
WLD_003637,Aluminum,Steel,96.8,Bare,Tin-plated,Resistance Spot Welding,7077.5,,1704.9,0.664,,,122.5,22.5,43.5,Tungsten,Helium,3.66,2.565,0.097,5.072,154.3,103.6,37.2,2.998,18.99,27.0,0.38,6.1,19.8,2.392,0.63,1.5,152.5,0.045,0.211,Low,91.4,0.195,-32.6,98.3,3660,2.998,3.502,16.81,91.2,86.6,16494,1.41e-06,12.21,4.27,Intermetallic Embrittlement,3660.0,0.222,0.438,0.92,0.897,2.64,91.3,0.755,0.85
WLD_003638,Titanium,Copper,108.0,Tin-plated,Oxide-cleaned,Resistance Spot Welding,5846.2,,1033.2,0.828,,,141.6,23.3,49.5,Graphite,Nitrogen,0.35,2.258,0.108,4.063,382.7,190.4,32.4,0.2783,28.37,30.2,0.41,5.55,23.6,1.994,0.83,5.51,295.8,0.0,0.219,Low,85.2,0.191,-34.9,86.0,107,0.2783,0.3171,13.93,96.8,91.9,54920,1.46e-06,4.76,3.64,Intermetallic Embrittlement,107.0,0.002,0.495,0.805,0.744,4.13,117.3,0.723,0.707
WLD_003639,Titanium,Copper,59.5,Oxide-cleaned,Passivated,Ultrasonic Welding,1916.9,46.8,355.6,0.566,,,59.9,24.3,30.4,Tungsten,Nitrogen,3.65,0.866,0.059,1.268,182.2,154.8,2.7,18.6471,27.08,17.3,1.67,2.98,28.8,0.838,0.49,5.84,273.2,0.371,1.442,Low,80.5,0.04,-26.0,144.9,476,18.6471,22.4573,20.43,87.1,82.8,6611,1.83e-06,4.77,2.69,Interface Delamination,476.0,0.072,0.431,0.67,0.939,3.67,175.9,0.518,0.786
WLD_003640,Titanium,Copper,499.9,Anodized,Nickel-plated,Ultrasonic Welding,829.8,15.3,486.2,0.319,,,48.7,22.4,59.0,Graphite,Nitrogen,2.35,0.641,0.5,2.078,50.0,36.7,59.3,5.0246,29.39,13.8,1.27,2.34,30.7,0.457,0.54,5.07,116.9,0.061,1.394,Low,74.1,0.251,-39.8,148.8,9814,5.0246,5.5238,9.93,73.5,69.8,883,2.6e-06,7.17,1.46,Fatigue Cracking,257.0,1.0,0.568,0.866,0.865,3.86,54.3,0.54,0.891
WLD_003641,Nickel,Copper,112.2,Tin-plated,Silver-plated,Resistance Spot Welding,6624.9,,3010.2,0.245,,,21.1,25.2,30.9,Copper,Nitrogen,1.38,2.557,0.112,5.671,79.0,55.7,94.2,0.2992,31.78,24.0,0.2,4.59,34.3,2.239,0.68,7.9,120.8,0.0,0.264,Medium,76.8,0.225,-34.2,109.4,7806,0.2992,0.4238,41.63,72.8,69.1,12800,1.28e-06,1.27,3.45,Thermal Degradation,4681.3,0.61,0.197,0.728,0.859,4.34,112.7,0.633,0.904
WLD_003642,Aluminum,Steel,267.5,Silver-plated,Bare,Friction Stir Welding,3388.5,,360.0,2.223,,63.9,82.9,29.9,40.1,Tungsten,Nitrogen,4.0,1.538,0.268,1.208,272.2,173.6,35.8,14.145,20.46,28.8,1.33,6.8,13.8,1.4,0.49,2.94,275.3,0.144,1.335,Medium,90.3,0.323,-37.6,106.4,3982,14.145,16.1393,14.1,85.2,81.0,18201,2.84e-06,15.26,2.14,Intermetallic Embrittlement,3982.0,0.219,0.435,0.642,0.707,0.34,146.8,0.848,0.601
WLD_003643,Aluminum,Aluminum,304.0,Nickel-plated,Bare,Ultrasonic Welding,2297.1,26.6,941.2,0.251,,,88.4,34.6,70.1,Molybdenum,Helium,1.0,0.878,0.304,2.364,50.0,38.1,87.9,0.4965,35.96,17.4,0.67,0.28,26.4,0.887,0.74,6.88,218.7,0.128,0.604,Medium,92.7,0.21,-30.5,84.3,9374,0.4965,0.5611,13.01,90.0,85.5,9879,1.57e-06,1.82,1.88,Fatigue Cracking,4694.0,0.949,0.62,0.977,0.756,0.83,194.7,0.736,0.941
WLD_003644,Aluminum,Steel,398.8,Silver-plated,Bare,Ultrasonic Welding,1744.0,41.5,347.7,1.728,,,82.8,31.9,36.8,Molybdenum,Nitrogen,3.06,0.7,0.399,2.583,256.0,139.4,24.9,11.3554,21.17,22.6,1.03,5.13,23.9,0.903,0.53,2.88,90.3,0.29,0.888,High,82.6,0.219,-32.1,140.5,8232,11.3554,14.0867,24.05,75.7,71.9,10313,1.46e-06,15.58,1.66,Thermal Degradation,6525.4,0.798,0.388,0.962,0.931,2.18,172.8,0.582,0.857
WLD_003645,Titanium,Copper,220.8,Anodized,Passivated,Friction Stir Welding,1784.3,27.2,2502.0,1.742,,402.9,143.8,20.6,48.2,Tungsten,Helium,4.46,1.129,0.221,2.902,311.1,185.9,149.0,3.6143,28.28,23.6,0.32,5.42,16.3,0.797,0.76,5.6,265.9,0.0,0.203,Low,72.7,0.196,-25.8,90.4,7130,3.6143,4.2049,16.34,80.2,76.2,83589,1.4e-06,7.27,1.99,Thermal Degradation,7130.0,0.085,0.488,0.722,0.815,1.57,155.9,0.673,0.666
WLD_003646,Titanium,Copper,205.5,Oxide-cleaned,Silver-plated,Electron Beam Welding,3287.0,,2906.5,0.946,,356.0,113.1,30.8,47.0,Graphite,Nitrogen,3.09,1.549,0.205,3.517,314.9,230.4,149.1,1.5573,27.21,21.4,0.36,4.86,27.6,1.273,0.82,6.08,288.8,0.0,0.506,Medium,90.7,0.25,-20.1,105.5,4058,1.5573,1.9285,23.84,96.4,91.6,43913,1.82e-06,6.53,2.54,Fatigue Cracking,4058.0,0.092,0.543,0.881,0.752,2.04,190.6,0.837,0.937
WLD_003647,Brass,Aluminum,155.9,Electropolished,Electropolished,Friction Stir Welding,3621.8,,411.1,0.072,,,91.0,24.2,64.2,Tungsten,Argon,0.86,1.617,0.156,2.579,50.0,32.0,21.9,4.2316,30.4,19.1,2.72,2.72,31.3,1.316,0.48,5.31,196.6,0.382,2.775,Medium,68.0,0.198,-22.1,121.8,8268,4.2316,5.1196,20.98,71.3,67.7,610,2.05e-06,-0.67,2.86,Fatigue Cracking,1324.8,1.0,0.447,0.642,0.77,1.45,191.8,0.688,0.918
WLD_003648,Nickel,Copper,423.3,Oxide-cleaned,Anodized,Friction Stir Welding,1523.7,,2930.2,3.308,,32.0,63.5,18.9,55.7,Copper,Air,0.34,1.072,0.423,3.103,226.2,147.1,306.5,0.1538,36.53,27.3,0.27,8.67,21.9,0.949,0.7,0.96,201.5,0.027,0.162,Medium,93.3,0.356,-28.2,94.8,6888,0.1538,0.1922,24.94,80.8,76.8,36245,2.4e-06,4.81,1.79,Fatigue Cracking,6888.0,0.19,0.455,0.763,0.777,0.94,136.5,0.565,0.783
WLD_003649,Aluminum,Aluminum,464.7,Tin-plated,Anodized,Ultrasonic Welding,1843.8,40.3,1695.3,1.418,,,80.2,25.3,43.2,Copper,Air,3.16,0.757,0.465,2.461,88.8,46.8,190.1,1.3033,36.23,22.3,0.34,0.49,36.2,0.853,0.76,1.14,189.3,0.135,0.446,Medium,76.6,0.276,-29.8,121.7,1237,1.3033,1.4848,13.93,94.8,90.1,11629,5.4e-07,-2.05,1.38,Fatigue Cracking,1237.0,0.106,0.635,0.841,0.794,0.45,98.2,0.688,0.821
WLD_003650,Copper,Aluminum,432.3,Bare,Oxide-cleaned,Ultrasonic Welding,2849.4,21.8,1837.6,1.645,,,73.7,34.1,32.8,Graphite,Argon,1.32,0.74,0.432,2.844,168.7,91.5,200.2,0.8561,36.9,23.4,0.52,5.59,39.8,1.216,0.7,1.98,215.9,0.0,0.247,Medium,72.5,0.251,-38.8,82.9,1037,0.8561,0.9177,7.2,91.3,86.8,24866,4.1e-07,10.11,1.69,Intermetallic Embrittlement,1037.0,0.042,0.535,0.915,0.797,4.93,100.7,0.683,0.944
WLD_003651,Copper,Aluminum,63.9,Silver-plated,Passivated,Resistance Spot Welding,1654.8,,1703.6,0.143,,,29.1,20.7,37.8,Tungsten,Helium,3.56,1.024,0.064,3.308,50.0,30.4,31.9,0.9942,48.39,14.6,0.52,2.35,29.8,0.801,0.68,3.67,213.1,0.168,0.452,Medium,90.5,0.051,-31.8,102.1,9258,0.9942,1.2926,30.01,86.3,82.0,3406,1.72e-06,6.22,3.3,Fatigue Cracking,5435.0,1.0,0.431,0.868,0.734,3.19,110.6,0.682,0.876
WLD_003652,Copper,Nickel,240.1,Nickel-plated,Anodized,Laser Welding,1413.3,,178.4,0.038,30.9,984.1,99.6,21.6,56.5,Copper,None,0.57,0.654,0.24,3.057,50.0,39.1,5.4,1.9658,35.73,10.9,2.78,1.71,28.1,0.662,0.56,7.88,98.4,0.181,2.59,Medium,73.8,0.123,-34.3,109.0,9687,1.9658,2.1829,11.05,74.6,70.8,1510,2.51e-06,-0.42,2.04,Thermal Degradation,1137.5,1.0,0.512,0.867,0.773,1.14,173.4,0.714,0.744
WLD_003653,Titanium,Copper,250.8,Tin-plated,Silver-plated,Ultrasonic Welding,2772.0,10.1,1156.9,1.491,,,137.9,33.4,47.9,Molybdenum,Air,2.67,0.879,0.251,2.743,384.3,252.4,68.9,1.8356,29.14,24.8,0.56,5.22,26.7,1.157,0.8,4.22,83.1,0.014,0.693,Low,62.1,0.173,-39.0,114.3,9140,1.8356,2.3356,27.24,78.6,74.6,27474,1.91e-06,7.62,1.87,Thermal Degradation,9140.0,0.333,0.37,0.859,0.719,4.21,158.8,0.712,0.859
WLD_003654,Aluminum,Aluminum,325.2,Nickel-plated,Oxide-cleaned,Electron Beam Welding,1525.6,,1519.0,0.986,297.6,,92.1,23.2,52.7,Tungsten,Air,2.13,0.92,0.325,2.01,75.3,43.9,117.0,0.9552,36.51,18.6,0.6,0.28,27.9,0.824,0.75,5.94,278.6,0.019,0.517,Low,96.2,0.235,-32.9,124.7,5212,0.9552,1.1163,16.87,84.8,80.6,6084,1.25e-06,-0.12,1.53,Fatigue Cracking,2000.4,0.857,0.555,0.813,0.748,1.63,52.2,0.516,0.716
WLD_003655,Nickel,Copper,379.4,Anodized,Bare,Friction Stir Welding,1306.5,17.8,2237.1,0.599,248.5,,128.0,19.6,62.4,Copper,None,3.12,0.914,0.379,2.945,104.5,69.2,218.9,1.2876,29.36,19.5,0.37,2.97,22.6,0.633,0.71,1.72,97.7,0.0,0.376,Medium,89.1,0.272,-36.3,94.6,8066,1.2876,1.985,54.16,77.2,73.3,13904,1.32e-06,0.52,1.84,Thermal Degradation,6345.6,0.58,0.136,0.964,0.811,4.4,151.0,0.767,0.716
WLD_003656,Copper,Nickel,384.5,Electropolished,Bare,Cold Welding,2925.9,,1679.9,0.525,142.2,,29.3,24.8,65.2,Graphite,Argon,2.01,1.381,0.385,3.072,139.1,97.3,157.6,1.4789,31.45,17.3,0.33,3.61,20.9,1.082,0.72,3.49,233.8,0.172,0.383,Medium,80.8,0.417,-26.2,100.5,732,1.4789,1.7191,16.24,96.0,91.2,18405,1.43e-06,1.12,1.96,Fatigue Cracking,732.0,0.04,0.618,0.67,0.878,3.19,102.1,0.752,0.747
WLD_003657,Copper,Steel,211.3,Nickel-plated,Anodized,Laser Welding,981.7,,171.6,0.086,160.3,332.8,132.4,27.4,75.7,Graphite,Air,3.87,0.671,0.211,2.843,50.0,30.0,16.7,11.1858,29.86,14.6,2.83,1.63,19.3,0.487,0.36,6.54,166.2,0.459,2.999,Low,67.4,0.111,-34.4,144.9,4617,11.1858,14.4243,28.95,73.8,70.1,634,3.09e-06,6.1,2.27,Interface Delamination,435.8,1.0,0.279,0.645,0.936,1.18,192.1,0.863,0.856
WLD_003658,Brass,Aluminum,205.9,Silver-plated,Bare,Electron Beam Welding,2100.3,,2073.9,0.252,232.7,,117.5,29.9,36.5,Copper,Argon,2.8,1.132,0.206,3.505,50.0,35.4,106.3,0.6604,30.01,17.9,0.23,2.78,26.5,0.911,0.69,3.59,164.8,0.0,0.333,Low,90.8,0.183,-23.4,90.9,5536,0.6604,0.8164,23.63,85.0,80.8,4434,2.25e-06,3.92,2.12,Fatigue Cracking,5536.0,1.0,0.489,0.648,0.929,3.3,182.3,0.758,0.919
WLD_003659,Nickel,Copper,274.9,Bare,Tin-plated,Ultrasonic Welding,2661.7,34.4,1967.3,1.716,,,133.1,19.4,59.9,Molybdenum,Argon,4.3,0.85,0.275,2.437,319.4,166.7,136.9,3.211,31.64,21.0,0.04,6.08,33.8,1.256,0.77,4.77,229.2,0.0,-0.081,Low,67.2,0.183,-35.1,89.6,5805,3.211,4.1156,28.17,86.7,82.3,54879,1.1e-07,5.73,1.86,Thermal Degradation,5805.0,0.106,0.402,0.846,0.84,3.28,75.0,0.566,0.742
WLD_003660,Titanium,Copper,217.2,Oxide-cleaned,Electropolished,Resistance Spot Welding,7918.7,,4998.9,0.74,,,135.4,22.7,32.2,Copper,Helium,0.16,2.919,0.217,6.964,224.0,143.6,260.0,0.0749,27.77,25.4,0.39,6.47,30.6,2.509,0.75,1.8,137.7,0.072,0.219,High,81.1,0.498,-32.0,105.9,2876,0.0749,0.0956,27.62,91.4,86.8,24187,1.45e-06,6.03,2.78,Intermetallic Embrittlement,2876.0,0.119,0.331,0.861,0.814,2.54,76.4,0.899,0.804
WLD_003661,Aluminum,Aluminum,291.0,Electropolished,Oxide-cleaned,Electron Beam Welding,216.8,,2605.5,1.105,,,127.6,28.0,59.4,Tungsten,Helium,1.4,0.625,0.291,1.372,50.0,36.6,176.5,0.6459,34.35,14.4,0.56,0.1,32.8,0.396,0.74,4.12,158.5,0.025,0.449,Low,95.3,0.143,-38.0,117.2,4353,0.6459,0.7515,16.34,80.6,76.5,4262,1.17e-06,2.33,1.79,Fatigue Cracking,2908.9,1.0,0.539,0.786,0.728,4.79,125.5,0.668,0.643
WLD_003662,Nickel,Copper,388.8,Electropolished,Bare,Ultrasonic Welding,954.1,40.7,192.9,0.721,,,48.5,21.0,75.8,Tungsten,Helium,0.91,0.729,0.389,1.862,96.7,64.2,28.2,7.7535,37.32,12.4,2.6,2.71,24.4,0.601,0.44,1.57,198.3,0.255,2.525,Low,64.4,0.222,-25.7,146.0,4150,7.7535,10.0333,29.4,82.7,78.6,3258,2.13e-06,5.06,1.53,Interface Delamination,328.9,1.0,0.32,0.656,0.808,1.8,58.8,0.583,0.859
WLD_003663,Copper,Aluminum,279.2,Nickel-plated,Electropolished,Laser Welding,1669.1,,390.1,0.029,126.7,363.3,120.0,19.5,64.6,Graphite,Helium,0.98,0.76,0.279,1.53,50.0,32.1,42.8,1.1801,47.2,12.9,1.12,2.03,37.0,0.753,0.66,7.73,130.9,0.109,1.256,Medium,81.0,0.167,-31.7,115.8,1433,1.1801,1.2937,9.62,97.6,92.7,4353,1.99e-06,4.86,1.73,Interface Delamination,1426.2,0.329,0.592,0.831,0.704,4.11,197.1,0.712,0.626
WLD_003664,Copper,Nickel,359.4,Tin-plated,Bare,Friction Stir Welding,665.1,,2524.2,0.925,,,66.3,24.9,65.7,Graphite,Air,3.24,0.737,0.359,1.429,91.0,53.2,239.7,1.137,35.07,14.1,0.18,3.68,27.0,0.534,0.7,3.29,297.3,0.0,0.333,Medium,81.5,0.208,-36.9,129.3,2206,1.137,1.3997,23.1,87.6,83.2,6568,1.57e-06,3.45,1.69,Interface Delamination,2206.0,0.336,0.407,0.853,0.85,1.0,140.1,0.802,0.828
WLD_003665,Copper,Steel,412.4,Silver-plated,Electropolished,Ultrasonic Welding,1836.9,44.7,1873.0,1.464,,,148.6,18.7,59.8,Graphite,Nitrogen,1.23,0.84,0.412,2.643,345.7,237.5,198.0,0.6728,29.79,19.8,0.09,4.91,24.2,0.919,0.86,4.18,194.6,0.008,0.036,Low,77.4,0.272,-29.8,110.7,4710,0.6728,0.8229,22.32,80.6,76.6,44699,1.18e-06,5.26,1.92,Mechanical Wear,4710.0,0.105,0.58,0.701,0.752,3.74,62.4,0.647,0.652
WLD_003666,Aluminum,Aluminum,443.7,Tin-plated,Oxide-cleaned,Ultrasonic Welding,2736.7,21.7,831.0,0.987,,,31.6,20.0,71.2,Tungsten,Argon,4.62,0.794,0.444,2.563,106.9,72.3,111.6,4.7154,36.42,24.0,0.62,0.39,28.8,1.074,0.68,1.01,205.2,0.02,0.509,Medium,94.9,0.276,-33.5,148.3,1913,4.7154,5.6002,18.76,87.7,83.3,3747,3.02e-06,1.38,1.88,Thermal Degradation,1328.0,0.511,0.501,0.732,0.759,3.91,183.4,0.51,0.647
WLD_003667,Aluminum,Steel,374.6,Bare,Nickel-plated,Ultrasonic Welding,847.1,14.8,1536.5,0.847,,,20.0,31.9,32.4,Graphite,None,4.24,0.658,0.375,3.171,89.0,62.3,117.6,6.0498,22.24,13.7,0.46,2.74,13.5,0.523,0.58,1.27,178.3,0.133,0.432,Medium,61.8,0.194,-37.6,81.7,7494,6.0498,8.7241,44.2,81.5,77.5,10891,1.5e-06,11.57,1.72,Thermal Degradation,5679.3,0.688,0.216,0.904,0.887,2.16,154.5,0.724,0.847
WLD_003668,Nickel,Copper,234.6,Nickel-plated,Tin-plated,Friction Stir Welding,2727.6,,2726.3,4.006,,,120.0,23.5,75.1,Copper,None,2.62,1.294,0.235,2.46,288.6,234.9,159.7,0.7836,33.75,31.8,0.5,10.73,31.4,1.43,0.7,4.5,118.7,0.05,0.133,Low,85.1,0.238,-39.6,100.9,8962,0.7836,1.0797,37.79,70.8,67.2,21342,1.54e-06,2.78,2.41,Thermal Degradation,8962.0,0.42,0.226,0.869,0.805,1.4,52.2,0.568,0.676
WLD_003669,Aluminum,Steel,464.0,Nickel-plated,Nickel-plated,Friction Stir Welding,633.1,53.1,2852.1,4.595,263.7,360.3,48.0,33.6,60.9,Graphite,Argon,3.06,0.794,0.464,2.489,94.4,69.7,338.8,1.0916,19.09,34.0,0.34,9.84,25.3,0.771,0.54,7.98,97.4,0.101,0.037,Low,79.7,0.289,-28.7,131.6,8480,1.0916,1.5298,40.15,71.5,67.9,3671,1.34e-06,13.05,1.73,Fatigue Cracking,1874.5,1.0,0.256,0.674,0.776,3.25,113.3,0.897,0.947
WLD_003670,Nickel,Copper,228.9,Electropolished,Oxide-cleaned,Electron Beam Welding,447.9,,1198.2,4.984,87.5,178.9,99.0,30.6,68.2,Molybdenum,Nitrogen,4.15,0.686,0.229,2.642,66.1,33.2,65.3,4.6187,35.01,39.5,0.0,11.33,26.0,0.785,0.44,2.03,81.1,0.0,0.33,Low,75.7,0.123,-29.4,131.8,1550,4.6187,5.2319,13.28,80.7,76.7,2573,1.58e-06,4.53,1.78,Intermetallic Embrittlement,996.7,0.602,0.421,0.87,0.834,4.14,109.2,0.602,0.631
WLD_003671,Aluminum,Steel,296.3,Nickel-plated,Silver-plated,Electron Beam Welding,3765.2,48.1,151.9,4.668,,,31.7,18.6,55.6,Copper,None,1.1,1.766,0.296,1.011,280.6,168.7,9.2,7.8569,18.86,42.2,3.09,12.24,18.2,1.867,0.38,6.45,176.0,0.452,2.833,Low,92.5,0.411,-39.0,103.4,1422,7.8569,8.6259,9.79,94.6,89.9,14273,1.78e-06,12.56,2.22,Intermetallic Embrittlement,1422.0,0.1,0.525,0.781,0.814,2.31,198.4,0.514,0.734
WLD_003672,Brass,Aluminum,266.2,Anodized,Anodized,Electron Beam Welding,3318.0,,354.8,1.185,268.7,262.5,33.7,19.8,67.7,Graphite,None,1.61,1.501,0.266,3.95,131.3,104.4,39.2,7.8394,31.67,26.8,1.25,4.26,23.5,1.312,0.49,7.03,179.8,0.334,1.169,Low,68.9,0.314,-26.5,96.7,8159,7.8394,11.8406,51.04,81.2,77.1,12052,1.19e-06,1.03,2.2,Thermal Degradation,5016.4,0.677,0.156,0.682,0.709,0.46,136.6,0.553,0.819
WLD_003673,Aluminum,Aluminum,95.3,Passivated,Electropolished,Laser Welding,426.3,,422.9,0.086,103.3,107.0,94.8,22.9,71.0,Molybdenum,Argon,2.37,0.568,0.095,3.11,50.0,36.3,16.3,8.4099,37.67,9.6,1.45,0.13,24.9,0.345,0.51,7.51,241.9,0.117,1.635,Low,81.7,0.043,-38.9,148.6,4317,8.4099,9.5181,13.18,78.7,74.7,1252,1.88e-06,1.0,1.99,Interface Delamination,212.8,1.0,0.462,0.601,0.769,1.05,191.6,0.605,0.821
WLD_003674,Copper,Steel,252.1,Passivated,Silver-plated,Ultrasonic Welding,2265.1,46.5,1949.8,0.614,,,46.2,21.4,58.0,Copper,Helium,4.2,0.929,0.252,3.093,190.1,150.0,117.5,4.5592,31.13,18.9,0.35,3.0,24.6,0.911,0.7,6.15,181.9,0.0,0.666,Low,74.3,0.184,-38.0,122.4,6539,4.5592,5.4405,19.33,78.1,74.2,9408,9.7e-07,5.09,2.1,Fatigue Cracking,6390.8,0.695,0.497,0.609,0.78,2.21,64.8,0.572,0.612
WLD_003675,Nickel,Copper,151.1,Silver-plated,Bare,Cold Welding,2343.5,27.7,2478.1,0.137,233.9,,114.6,27.8,40.7,Tungsten,Nitrogen,3.6,1.167,0.151,2.254,50.0,34.1,81.3,0.8465,34.29,17.0,0.49,2.78,34.3,0.979,0.68,0.65,252.9,0.002,0.527,Low,86.6,0.138,-33.0,103.3,152,0.8465,1.0162,20.05,92.8,88.2,7690,4.8e-07,3.21,2.19,Interface Delamination,152.0,0.02,0.464,0.659,0.852,2.52,61.2,0.81,0.643
WLD_003676,Aluminum,Aluminum,317.3,Anodized,Tin-plated,Resistance Spot Welding,7160.7,,3026.8,0.889,,,76.4,32.8,69.8,Graphite,Argon,3.23,2.643,0.317,5.703,84.7,62.0,223.6,1.6172,32.68,25.9,0.0,0.38,33.3,2.43,0.77,1.01,141.1,0.066,0.07,Low,62.0,0.658,-34.5,101.8,3858,1.6172,1.8929,17.05,87.9,83.5,12841,1.13e-06,-1.49,2.01,Mechanical Wear,3858.0,0.3,0.669,0.897,0.751,4.67,163.9,0.844,0.892
WLD_003677,Brass,Aluminum,131.2,Bare,Nickel-plated,Laser Welding,323.6,,354.6,0.093,97.9,967.6,91.8,30.7,77.1,Tungsten,Nitrogen,0.41,0.514,0.131,1.461,50.0,33.9,36.8,1.5705,32.04,12.6,1.5,1.48,29.7,0.429,0.64,0.59,251.1,0.133,1.437,Medium,90.9,0.053,-38.6,94.3,6706,1.5705,1.9652,25.13,81.0,76.9,3959,2.59e-06,1.17,1.81,Fatigue Cracking,1735.8,1.0,0.454,0.788,0.872,1.21,142.8,0.77,0.726
WLD_003678,Aluminum,Aluminum,164.4,Silver-plated,Electropolished,Cold Welding,3549.7,89.0,365.8,3.175,,,92.2,23.9,47.8,Graphite,Argon,4.9,1.56,0.164,1.191,109.4,56.3,22.1,7.6601,32.65,34.1,1.56,0.28,26.7,1.699,0.56,4.39,185.3,0.129,1.886,Low,97.8,0.201,-23.1,131.5,4465,7.6601,8.6327,12.7,81.7,77.6,6848,2.32e-06,2.66,2.41,Interface Delamination,3435.9,0.652,0.481,0.726,0.941,4.82,119.9,0.685,0.703
WLD_003679,Aluminum,Aluminum,242.2,Nickel-plated,Anodized,Friction Stir Welding,3802.7,67.6,1160.3,2.2,,380.1,58.0,28.1,61.2,Graphite,Helium,0.57,1.661,0.242,3.635,89.8,63.4,81.5,0.3381,38.58,27.3,0.07,0.18,24.7,1.59,0.81,2.36,209.6,0.014,0.16,High,78.5,0.316,-38.2,103.0,9586,0.3381,0.4785,41.51,81.3,77.3,12684,4.5e-07,-2.61,2.12,Fatigue Cracking,6359.5,0.756,0.292,0.949,0.922,1.31,67.7,0.843,0.864
WLD_003680,Aluminum,Steel,376.0,Bare,Tin-plated,Friction Stir Welding,2980.7,,2203.9,0.854,242.0,,116.3,29.1,36.8,Tungsten,Nitrogen,2.03,1.446,0.376,2.864,222.7,136.6,206.2,1.6824,20.77,18.5,0.0,4.36,17.0,1.161,0.78,5.93,194.3,0.102,-0.135,High,61.7,0.427,-35.1,82.1,6920,1.6824,2.153,27.97,84.9,80.6,70380,7.3e-07,12.11,2.26,Fatigue Cracking,6920.0,0.098,0.445,0.832,0.776,4.7,130.1,0.513,0.808
